INCIDENTNEIGHBORHOOD,OFFENSES
South Side Flats,9999 9999 - (Misc. Incident): 
Beltzhoover,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Squirrel Hill South,3304(a)(2) CRIMINAL MISCHIEF- Tamper With Property (So As To Endanger Person or Property)
South Side Flats,9999 9999 - (Misc. Incident): 
Carrick,9999 9999 - (Misc. Incident): 
Marshall-Shadeland,3921(a) Theft by Unlawful Taking or Disposition - Movable item
Sheraden,9999 9999 - (Misc. Incident): 
Point Breeze North,9497 Aided Case
Garfield,2706 Terroristic Threats.
Shadyside,9498 302 (Mental)
Central Business District,"3304(a)(4) CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti, Aerosol Spray Paint, Broad Tip Marker, or Similar)"
Bedford Dwellings,9122 Miscellaneous Fire Vehicle Investigation to Continue
Central Business District,9497 Aided Case
Squirrel Hill North,3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION
Perry North,9490 Missing Persons (18 and Over)
Squirrel Hill South,029 Missing Juvenile
Troy Hill,3502 Burglary. / 3921(a) Theft by Unlawful Taking or Disposition - Movable item
Central Oakland,9999 9999 - (Misc. Incident): Forced Entry for Welfare Check
Brighton Heights,9998 Overdose Other
Homewood South,8106 Shots Fired
Central Lawrenceville,3304 Criminal Mischief.
Elliott,2709 Harassment (Non-Specific)
East Allegheny,2709 Harassment (Non-Specific)
Lincoln-Lemington-Belmar,9504 Lost Property
Mount Washington,3921 Theft by Unlawful Taking or Disposition. / 2701(a)(3) Simple Assault - Attempts by Physical Menace 
Central Business District,3934 Theft from Vehicle
Beechview,9998 Overdose Other
Garfield,2709 Harassment (Non-Specific)
South Side Slopes,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Carrick,2702 Aggravated Assault. / 5104 Resisting Arrest or Other Law Enforcement. / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another / 5505 Public Drunkenness / 5505 Public Drunkenness / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF / 5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE
Greenfield,3743 Accidents Involving Damage to Attended Veh. or Property
Allentown,3921 Theft by Unlawful Taking or Disposition.
Upper Lawrenceville,"3304(a)(4) CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti, Aerosol Spray Paint, Broad Tip Marker, or Similar) / 9130 Graffiti Investigation"
Lincoln-Lemington-Belmar,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake."
Garfield,3304 Criminal Mischief.
Carrick,3934 Theft from Vehicle
Carrick,3921 Theft by Unlawful Taking or Disposition.
South Side Flats,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
Upper Hill,2701 Simple Assault. / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another / 13(a)(31) Marijuana: Possession Small Amount
Squirrel Hill North,3922 Theft by Deception.
Elliott,3304 Criminal Mischief.
Elliott,3304 Criminal Mischief.
Sheraden,8106 Shots Fired
Shadyside,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake. / 4106 Access Device Fraud"
Carrick,9999 9999 - (Misc. Incident): 
Beechview,2701 Simple Assault. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck
Spring Hill-City View,3304 Criminal Mischief.
East Allegheny,3502 Burglary.
Crawford-Roberts,9496 Dead on Arrival (DOA)
Carrick,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another / 3745 Accidents Involving Damage to Unattended Veh.or Prop.
Central Oakland,3809(a) Restriction on Alcoholic Beverages in Vehicle
Beechview,9496 Dead on Arrival (DOA)
Greenfield,2709 Harassment (Non-Specific)
Middle Hill,"3921(a) Theft by Unlawful Taking or Disposition - Movable item / 3924 Theft of Property Lost, Mislaid or Delivered by Mistake. / 3925 Receiving Stolen Property."
East Hills,3701 Robbery. / 5104 Resisting Arrest or Other Law Enforcement. / 2701 Simple Assault.
Upper Hill,9993 PFA Service with Weapons Supplement
East Hills,"2702 Aggravated Assault. / 2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 3928 Unauthorized Use of Automobile and Other Vehicles."
Crafton Heights,3921(a) Theft by Unlawful Taking or Disposition - Movable item
Esplen,6106 Firearms not to be Carried without a License. / 607.03 Discharging Firearm or Airgun
Greenfield,3934 Theft from Vehicle
East Liberty,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Sheraden,2706 Terroristic Threats.
Allentown,9501 Bench Warrant
Carrick,9490 Missing Persons (18 and Over)
Shadyside,3502 Burglary. / 3503 Criminal Trespass
Lincoln-Lemington-Belmar,2706 Terroristic Threats.
Allentown,3921 Theft by Unlawful Taking or Disposition.
Squirrel Hill South,9497 Aided Case
Homewood North,2706 Terroristic Threats.
Squirrel Hill South,3929 Retail Theft.
Allentown,9124 Drug Investigation
California-Kirkbride,9124 Drug Investigation
West End,9124 Drug Investigation
California-Kirkbride,9124 Drug Investigation
Squirrel Hill North,9124 Drug Investigation
Central Business District,9999 9999 - (Misc. Incident): 
Esplen,2706 Terroristic Threats.
Lincoln Place,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another"
Central Business District,"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise"
Sheraden,2701(a)(3) Simple Assault - Attempts by Physical Menace  / 4952 Intimidation of Witnesses or Victims / 2903 False Imprisonment.
Overbrook,9498 302 (Mental)
Central Business District,9999 9999 - (Misc. Incident): Possible theft from vehicle
North Shore,9496 Dead on Arrival (DOA)
South Side Slopes,3921 Theft by Unlawful Taking or Disposition.
Larimer,2701 Simple Assault.
Ridgemont,9999 9999 - (Misc. Incident): CYF Investigation
Central Business District,9998 Overdose Other
South Side Flats,9999 9999 - (Misc. Incident): 
Perry South,13(a)(31) Marijuana: Possession Small Amount / 13(a)(32) Paraphernalia - Use or Possession / 3334 Turning Movements and Required Signals.
Central North Side,9999 9999 - (Misc. Incident): 
Upper Lawrenceville,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
Outside City,3921 Theft by Unlawful Taking or Disposition. / 9094 Recovered Stolen Vehicle (OUTSIDE CITY)
East Allegheny,9999 9999 - (Misc. Incident): 
Bluff,3701 Robbery. / 3502 Burglary.
,3131(c)(1) Unlawful dissemination of intimate image -- Person depicted IS a minor UNDER 18 (M1) / 6321(b) TSEI(M3)knowingly transmits distributes publishes disseminates electronic comm. W/sexually explicit image of another minor 12+
Shadyside,9992 Governor's Order Violation
Carrick,2709 Harassment (Non-Specific)
South Side Flats,4120 Identity Theft
Shadyside,3743 Accidents Involving Damage to Attended Veh. or Property
Brighton Heights,3921 Theft by Unlawful Taking or Disposition.
Terrace Village,3921 Theft by Unlawful Taking or Disposition.
Allentown,9489 Found Property
Brighton Heights,"4910 Tampering with or Fabricating Physical Evidence. / 6106 Firearms not to be Carried without a License. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b)"
California-Kirkbride,9124 Drug Investigation
Beechview,9998 Overdose Other
East Allegheny,9998 Overdose Other
Fineview,13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 4703 Operation of Vehicle without Official Certif. of Inspection / 1543 Driving While Operating Privilege is Suspended or Revoked. / 4706 Prohib. on Expend. for Emission Insp Prog.. / 1501 Drivers Required to be Licensed.
Sheraden,029 Missing Juvenile
Shadyside,13(a)(32) Paraphernalia - Use or Possession / 5505 Public Drunkenness / 5503 Disorderly Conduct.
Shadyside,3502 Burglary. / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
Hays,2709 Harassment (Non-Specific)
Central Business District,9999 9999 - (Misc. Incident): civil neighbor complaint/dispute
Central North Side,9999 9999 - (Misc. Incident): Subject Stop - Butler Co. Sheriff Warrant - Not accepted
Perry North,"633.09(a) Harboring a Nuisance; Any animal to create offensive odor, excessive noise or unsanitary condition"
Spring Hill-City View,"2706 Terroristic Threats. / 6501(a)(1) Scattering Rubbish; Any waste, dangerous or detrimental substance upon public property or waters"
Crafton Heights,3934 Theft from Vehicle
Crafton Heights,3934 Theft from Vehicle
Crafton Heights,3934 Theft from Vehicle
Crafton Heights,3934 Theft from Vehicle
Sheraden,3921 Theft by Unlawful Taking or Disposition.
Banksville,9498 302 (Mental)
Allegheny Center,3502 Burglary.
Mount Washington,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Lincoln-Lemington-Belmar,029 Missing Juvenile
Brighton Heights,9999 9999 - (Misc. Incident): 
Spring Hill-City View,9017 Found Drugs
Carrick,1786 Required Financial Responsibility. / 9999 9999 - (Misc. Incident): non-reportable accident
Morningside,2709 Harassment (Non-Specific)
Highland Park,2709(a) Harassment. / 9498 302 (Mental)
,3124.1 Sexual Assault
Manchester,9993 PFA Service with Weapons Supplement
Brighton Heights,4910 Tampering with or Fabricating Physical Evidence. / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(16) Possession of Controlled Substance / 13(a)(16) Possession of Controlled Substance / 4303 General Lighting Requirements.
Central Business District,2702 Aggravated Assault. / 2706 Terroristic Threats.
Brighton Heights,4106 Access Device Fraud
Shadyside,3304 Criminal Mischief.
Shadyside,3921 Theft by Unlawful Taking or Disposition.
Knoxville,2706 Terroristic Threats.
Knoxville,3934 Theft from Vehicle
Mount Washington,3743 Accidents Involving Damage to Attended Veh. or Property
East Carnegie,9497 Aided Case
Beechview,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury"
Bloomfield,2709(a) Harassment.
Hazelwood,6106 Firearms not to be Carried without a License. / 1301 Registration and Certificate of Title Required.
Central Lawrenceville,3934 Theft from Vehicle
Troy Hill,13(a)(31) Marijuana: Possession Small Amount / 9501 Bench Warrant / 1543 Driving While Operating Privilege is Suspended or Revoked.
Marshall-Shadeland,"3921 Theft by Unlawful Taking or Disposition. / 2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury"
East Liberty,3929 Retail Theft.
East Liberty,5104 Resisting Arrest or Other Law Enforcement. / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF / 5503(a)(3) DISORDERLY CONDUCT - OBSCENE LANG/GEST / 3503 Criminal Trespass
Middle Hill,2701(a)(3) Simple Assault - Attempts by Physical Menace  / 2706 Terroristic Threats. / 4304(a)(1) Endangering Welfare of Children.
Brookline,9999 9999 - (Misc. Incident): 
Summer Hill,3502 Burglary. / 2701 Simple Assault. / 2709(a) Harassment. / 2902 Unlawful Restraint.
Central Business District,4952 Intimidation of Witnesses or Victims
Marshall-Shadeland,3304 Criminal Mischief.
Central Oakland,5505 Public Drunkenness
North Oakland,5505 Public Drunkenness / 601.16 Public Urination And Defecation / 5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE
Overbrook,9999 9999 - (Misc. Incident): 
Allentown,029 Missing Juvenile
East Allegheny,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Beechview,3502 Burglary.
Elliott,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 2701 Simple Assault."
Crafton Heights,9999 9999 - (Misc. Incident): 
Brookline,3921 Theft by Unlawful Taking or Disposition.
Upper Lawrenceville,9999 9999 - (Misc. Incident): 
Westwood,9999 9999 - (Misc. Incident): 
California-Kirkbride,9497 Aided Case
South Oakland,9496 Dead on Arrival (DOA)
Windgap,9497 Aided Case
Sheraden,9999 9999 - (Misc. Incident): 
Beechview,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Central North Side,9997 Overdose Death
Brookline,4120 Identity Theft
Mount Washington,9093 Indirect Criminal Contempt
Bluff,9497 Aided Case
Garfield,029 Missing Juvenile
Brookline,9498 302 (Mental)
Knoxville,3304 Criminal Mischief.
East Liberty,3921 Theft by Unlawful Taking or Disposition.
Point Breeze,2709 Harassment (Non-Specific)
Brookline,2706 Terroristic Threats. / 5104 Resisting Arrest or Other Law Enforcement. / 3503 Criminal Trespass / 4701 Bribery in Official and Political Matters. / 9093 Indirect Criminal Contempt / 2703.1 Aggravated Harassment by Prisoner
Hazelwood,9999 9999 - (Misc. Incident): 
,5901 Open Lewdness. / 3127 Indecent Exposure. / 5503 Disorderly Conduct.
Crafton Heights,2709 Harassment (Non-Specific)
Carrick,"3701 Robbery. / 3502 Burglary. / 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 2701 Simple Assault. / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another"
Sheraden,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Arlington,9999 9999 - (Misc. Incident): Injured Animal dispatched 
Overbrook,9999 9999 - (Misc. Incident): 
Outside City,9999 9999 - (Misc. Incident): 
Central Business District,2706 Terroristic Threats.
Brookline,3304 Criminal Mischief.
East Liberty,3502 Burglary.
Central Oakland,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake."
Perry South,9999 9999 - (Misc. Incident): 
Highland Park,4106 Access Device Fraud
Central Business District,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Perry North,3304 Criminal Mischief.
Perry South,9497 Aided Case
Marshall-Shadeland,3743 Accidents Involving Damage to Attended Veh. or Property
Friendship,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Garfield,3921 Theft by Unlawful Taking or Disposition. / 4106 Access Device Fraud
South Side Flats,"3304(a)(4) CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti, Aerosol Spray Paint, Broad Tip Marker, or Similar)"
Bloomfield,3929 Retail Theft.
East Hills,3304 Criminal Mischief. / 2709(a)(6) Harassment Communicates Repeatedly at Extreme Hours
Allentown,9124 Drug Investigation
Central Business District,"3929 Retail Theft. / 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats"
Garfield,9999 9999 - (Misc. Incident): 
Marshall-Shadeland,9497 Aided Case
Lincoln-Lemington-Belmar,1786 Required Financial Responsibility.
Allentown,9124 Drug Investigation
Bloomfield,3743 Accidents Involving Damage to Attended Veh. or Property
Central Business District,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats"
South Side Flats,3934 Theft from Vehicle / 3304 Criminal Mischief.
Spring Hill-City View,3502 Burglary.
Point Breeze North,9490 Missing Persons (18 and Over)
Central Business District,2709(a) Harassment.
Bon Air,2701 Simple Assault.
South Side Slopes,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Greenfield,2709 Harassment (Non-Specific)
Bloomfield,3921 Theft by Unlawful Taking or Disposition.
Highland Park,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
Middle Hill,9998 Overdose Other
Lincoln-Lemington-Belmar,2701 Simple Assault.
Mount Washington,9999 9999 - (Misc. Incident): 
Central Business District,9992 Governor's Order Violation
Homewood South,2702 Aggravated Assault. / 8106 Shots Fired
Lincoln Place,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 2701(a)(3) Simple Assault - Attempts by Physical Menace "
Brookline,3304 Criminal Mischief.
Central Business District,9496 Dead on Arrival (DOA)
Sheraden,2701 Simple Assault.
Central Business District,2709(a)(6) Harassment Communicates Repeatedly at Extreme Hours / 2709(b) Stalking
Central Business District,9999 9999 - (Misc. Incident): 
Highland Park,3502 Burglary.
Bluff,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another / 13(a)(32) Paraphernalia - Use or Possession / 3503(b)(1)(iii) Defiant Trespass - Fencing or Other Enclosure
Central Business District,601.08(a) Alcohol or Liquor Consumption on Streets or Sidewalks
Chartiers City,2706 Terroristic Threats. / 4304(a)(1) Endangering Welfare of Children.
Point Breeze,3304 Criminal Mischief.
Central Lawrenceville,9999 9999 - (Misc. Incident): 
Brighton Heights,9999 9999 - (Misc. Incident): 
Bloomfield,9999 9999 - (Misc. Incident): 
Manchester,9999 9999 - (Misc. Incident): 
Squirrel Hill South,2706 Terroristic Threats. / 2701 Simple Assault.
Bloomfield,9999 9999 - (Misc. Incident): 
Spring Hill-City View,9501 Bench Warrant
Stanton Heights,2701 Simple Assault.
Lincoln-Lemington-Belmar,2702 Aggravated Assault.
Bedford Dwellings,9994 PFA Service
Marshall-Shadeland,4101 Forgery.
Lincoln-Lemington-Belmar,2702 Aggravated Assault.
Central Business District,601.16 Public Urination And Defecation
Arlington,9993 PFA Service with Weapons Supplement
Sheraden,9497 Aided Case
Squirrel Hill South,"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise"
Central Oakland,2701 Simple Assault. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck
East Liberty,3304 Criminal Mischief.
Bon Air,9998 Overdose Other
Squirrel Hill South,9999 9999 - (Misc. Incident): Medical Assistance
Shadyside,"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise / 9501 Bench Warrant"
Middle Hill,5505 Public Drunkenness / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF / 9998 Overdose Other
South Side Slopes,5503 Disorderly Conduct. / 9498 302 (Mental)
Glen Hazel,029 Missing Juvenile
Garfield,2701(a)(3) Simple Assault - Attempts by Physical Menace  / 13(a)(31) Marijuana: Possession Small Amount
Beechview,9998 Overdose Other
Elliott,13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(16) Possession of Controlled Substance / 7512 Criminal Use of Communication / 903 Criminal Conspiracy. / 13(a)(30)* Delivery of Controlled Substance
Allentown,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury"
California-Kirkbride,9124 Drug Investigation
South Side Flats,9999 9999 - (Misc. Incident): WELFARE CHECK
Mount Washington,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
Sheraden,9093 Indirect Criminal Contempt
Bedford Dwellings,3928 Unauthorized Use of Automobile and Other Vehicles.
South Side Slopes,9489 Found Property
Windgap,9999 9999 - (Misc. Incident): Put Down Deer
Central Business District,3503 Criminal Trespass
Brighton Heights,9497 Aided Case
East Liberty,13(a)(32) Paraphernalia - Use or Possession / 1543 Driving While Operating Privilege is Suspended or Revoked. / 3323 Stop Signs and Yield Signs.
Homewood South,3304 Criminal Mischief. / 8106 Shots Fired
Windgap,3921 Theft by Unlawful Taking or Disposition. / 2701 Simple Assault. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck
South Side Slopes,2701 Simple Assault. / 3304 Criminal Mischief. / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck
Brighton Heights,9497 Aided Case
Central Oakland,3304 Criminal Mischief.
Homewood West,9497 Aided Case
Outside County,9497 Aided Case
Bloomfield,3502 Burglary.
Homewood North,2501 Criminal Homicide.
Bloomfield,9018 Accidental Fire
Central Business District,9998 Overdose Other
Homewood North,9999 9999 - (Misc. Incident): Suspicious male
Perry South,3921 Theft by Unlawful Taking or Disposition.
Upper Lawrenceville,9093 Indirect Criminal Contempt
Crafton Heights,8106 Shots Fired
South Side Flats,2705 Recklessly Endangering Another Person. / 13(a)(16) Possession of Controlled Substance / 4304(a)(1) Endangering Welfare of Children. / 3802(a)(1) DUI - General Impairment / 3736 Reckless Driving / 1543 Driving While Operating Privilege is Suspended or Revoked.
Middle Hill,2707.1 Discharge of a Firearm into Occupied Structure / 2705 Recklessly Endangering Another Person. / 3304 Criminal Mischief.
Sheraden,9093 Indirect Criminal Contempt
Hazelwood,3922 Theft by Deception.
Point Breeze North,3934 Theft from Vehicle
Central Business District,2709(a)(2) Harassment by Following Person in Public Place(s)
Highland Park,3934 Theft from Vehicle
Squirrel Hill North,4106 Access Device Fraud
Strip District,3921 Theft by Unlawful Taking or Disposition.
Sheraden,2702 Aggravated Assault.
St. Clair,3921 Theft by Unlawful Taking or Disposition.
Highland Park,9489 Found Property
Beltzhoover,4915 Failure to Comply with Megans Law
Fineview,2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck
Point Breeze North,9498 302 (Mental)
Beltzhoover,9496 Dead on Arrival (DOA)
South Oakland,2701(a)(3) Simple Assault - Attempts by Physical Menace 
East Liberty,2701 Simple Assault. / 5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING
Brighton Heights,9094 Recovered Stolen Vehicle (OUTSIDE CITY)
Morningside,3934 Theft from Vehicle / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
Brookline,2709 Harassment (Non-Specific)
East Liberty,029 Missing Juvenile
Perry North,9489 Found Property
Hazelwood,9993 PFA Service with Weapons Supplement
Central North Side,3301(d.1) Dangerous Burning / 3304 Criminal Mischief. / 7513 Restriction on Alcoholic Beverages - Open Container / 601.16 Public Urination And Defecation
Morningside,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Brighton Heights,2709 Harassment (Non-Specific)
Manchester,9999 9999 - (Misc. Incident): 
Bedford Dwellings,3921 Theft by Unlawful Taking or Disposition.
Carrick,2702 Aggravated Assault. / 2701 Simple Assault.
Homewood North,2709(a) Harassment.
Central Oakland,2501 Criminal Homicide.
Homewood North,9498 302 (Mental)
East Liberty,9992 Governor's Order Violation
Central Business District,9497 Aided Case
East Hills,3921(a) Theft by Unlawful Taking or Disposition - Movable item
Shadyside,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 4101 Forgery.
Point Breeze North,029 Missing Juvenile
Windgap,2709(a)(3) Harassment No Legitimate Purpose
Arlington,9490 Missing Persons (18 and Over)
South Side Flats,3929 Retail Theft.
Chateau,9501 Bench Warrant
Squirrel Hill South,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Allentown,3934 Theft from Vehicle
Sheraden,9999 9999 - (Misc. Incident): 
Central Business District,3701 Robbery.
Central Oakland,9999 9999 - (Misc. Incident): 
Fairywood,4106 Access Device Fraud / 4120 Identity Theft
Mount Washington,4106 Access Device Fraud
California-Kirkbride,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Hazelwood,9999 9999 - (Misc. Incident): 
East Liberty,3921 Theft by Unlawful Taking or Disposition.
Homewood South,9999 9999 - (Misc. Incident): 
North Oakland,3921 Theft by Unlawful Taking or Disposition.
Mount Washington,9999 9999 - (Misc. Incident): 
East Allegheny,9093 Indirect Criminal Contempt
Bon Air,13(a)(31) Marijuana: Possession Small Amount / 4703 Operation of Vehicle without Official Certif. of Inspection / 3334 Turning Movements and Required Signals. / 1543 Driving While Operating Privilege is Suspended or Revoked.
Greenfield,4106 Access Device Fraud
Central Oakland,"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION"
Upper Lawrenceville,901 Criminal Attempt
Brookline,9017 Found Drugs
Brookline,2701 Simple Assault.
Middle Hill,3929 Retail Theft.
North Oakland,2709(a) Harassment. / 5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE
Upper Hill,3921 Theft by Unlawful Taking or Disposition.
Marshall-Shadeland,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Central Business District,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
Carrick,3502 Burglary. / 3503 Criminal Trespass
Central Business District,9497 Aided Case
East Hills,9998 Overdose Other
East Allegheny,"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION"
Marshall-Shadeland,2701(a)(3) Simple Assault - Attempts by Physical Menace 
Mount Washington,3502 Burglary. / 3921 Theft by Unlawful Taking or Disposition. / 3304 Criminal Mischief.
South Side Flats,5503 Disorderly Conduct. / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION
Mount Washington,2709 Harassment (Non-Specific)
Crafton Heights,5511 Cruelty to Animals.
East Hills,9497 Aided Case
East Liberty,5505 Public Drunkenness / 5503 Disorderly Conduct. / 627.02(b)(i) Possessing a small amount of marijuana
East Liberty,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Bloomfield,2709 Harassment (Non-Specific)
West End,3733 Fleeing or Attempting to Elude Police Officer
Central Business District,2901 Kidnapping.
Shadyside,3701 Unattended Motor Vehicle.
Chateau,9124 Drug Investigation
Manchester,029 Missing Juvenile
Knoxville,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
Homewood South,2705 Recklessly Endangering Another Person. / 5121 Escape. / 1784 Proof of Financial Responsibility Following Violation. / 1543 Driving While Operating Privilege is Suspended or Revoked. / 1311 Registration Card to be Signed and Exhibited on Demand. / 3736 Reckless Driving / 3733 Fleeing or Attempting to Elude Police Officer / 3310 Following Too Closely.
Bluff,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Crafton Heights,9999 (Misc. Crime): Shotspotter
Mount Oliver,2701 Simple Assault. / 3304 Criminal Mischief.
Highland Park,9999 9999 - (Misc. Incident): 
Sheraden,3701 Robbery. / 2702 Aggravated Assault. / 3502 Burglary.
,3126(a)(8) Indecent assault of person under 16
Bloomfield,9123 Miscellaneous Fire Other Investigation to Continue
Bluff,9994 PFA Service
Lincoln-Lemington-Belmar,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
Carrick,3934 Theft from Vehicle
Central Business District,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats"
East Liberty,9999 9999 - (Misc. Incident): 
Knoxville,3745 Accidents Involving Damage to Unattended Veh.or Prop.
East Liberty,4120 Identity Theft
Spring Hill-City View,3934 Theft from Vehicle
Squirrel Hill South,2709 Harassment (Non-Specific)
Lower Lawrenceville,3304 Criminal Mischief.
Point Breeze North,3934 Theft from Vehicle
Bedford Dwellings,9994 PFA Service
Brookline,3743 Accidents Involving Damage to Attended Veh. or Property
Greenfield,2701 Simple Assault.
Hazelwood,3304 Criminal Mischief. / 13(a)(16) Possession of Controlled Substance
Bon Air,2706 Terroristic Threats.
Homewood South,3502 Burglary.
Spring Hill-City View,3921(a) Theft by Unlawful Taking or Disposition - Movable item
Mount Washington,2709 Harassment (Non-Specific) / 9999 9999 - (Misc. Incident): No contact order.
East Liberty,9998 Overdose Other
Homewood South,9124 Drug Investigation
Perry South,9997 Overdose Death
Perry North,9497 Aided Case
Allegheny Center,9998 Overdose Other
Banksville,3802(a)(1) DUI - General Impairment
,3124.1 Sexual Assault
Brookline,3701 Robbery. / 2701 Simple Assault.
Homewood North,2709(a) Harassment.
Bloomfield,9999 9999 - (Misc. Incident): Building struck by lightning
West Oakland,9999 9999 - (Misc. Incident): 
Central North Side,9497 Aided Case
Highland Park,9124 Drug Investigation
Crafton Heights,2701 Simple Assault.
Homewood West,9999 9999 - (Misc. Incident): 
East Liberty,3733 Fleeing or Attempting to Elude Police Officer / 3112 Traffic-Control Signals. / 3736 Reckless Driving / 3734 Driving without Lights to Avoid Identification or Arrest
Allegheny Center,13(a)(32) Paraphernalia - Use or Possession / 5505 Public Drunkenness / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION
Manchester,2701(a)(3) Simple Assault - Attempts by Physical Menace  / 5104 Resisting Arrest or Other Law Enforcement. / 2902 Unlawful Restraint.
South Side Slopes,9997 Overdose Death
Terrace Village,3934 Theft from Vehicle / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
Central North Side,9998 Overdose Other
Arlington Heights,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Shadyside,3921 Theft by Unlawful Taking or Disposition.
Manchester,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats"
